id,nome,pais,posicao,raridade
856,Nicholas Wilton,Nova Zelândia,Atacante (Titular),Comum
857,Vicki Hughes-Murdoch,Nova Zelândia,Meio-Campo (Titular),Comum
858,Lucia Stewart,Nova Zelândia,Zagueiro (Titular),Comum
859,Janine Freeman-Searle,Nova Zelândia,Lateral (Titular),Comum
860,Sharon Hart-Oliver,Nova Zelândia,Zagueiro (Titular),Comum
861,David Smith-Nicholson,Nova Zelândia,Zagueiro (Titular),Comum
862,Georgia Larsen,Nova Zelândia,Meio-Campo (Reserva),Comum
863,Jack Woolley,Nova Zelândia,Zagueiro (Reserva),Comum
864,Tayla Shaw-Williams,Nova Zelândia,Zagueiro (Reserva),Comum
865,Shaun Tucker,Nova Zelândia,Lateral (Reserva),Comum
866,Benjamin Cunningham,Nova Zelândia,Zagueiro (Reserva),Comum
867,Caitlin Jensen,Nova Zelândia,Meio-Campo (Reserva),Comum
868,Shelley Reed,Nova Zelândia,Zagueiro (Reserva),Comum
869,Mark Lloyd,Nova Zelândia,Zagueiro (Reserva),Comum
870,Lynne Satherley,Nova Zelândia,Goleiro (Reserva),Comum
871,Janice Patchett-Enright,Nova Zelândia,Atacante (Reserva),Raro
872,Sarah Booker-Warren,Nova Zelândia,Meio-Campo (Reserva),Comum
873,Daniel Gray,Nova Zelândia,Zagueiro (Reserva),Comum
874,Reuben Jackson,Nova Zelândia,Atacante (Reserva),Comum
875,Judith Turner,Nova Zelândia,Técnico,Comum
876,Gérard Bertin-Léger,Egito,Atacante (Titular),Comum
877,Zacharie Lemaître,Egito,Lateral (Titular),Comum
878,Aimé Costa-Daniel,Egito,Meio-Campo (Titular),Comum
879,Denis de la Rodriguez,Egito,Zagueiro (Titular),Comum
880,Édouard Fabre,Egito,Atacante (Titular),Comum
881,William de la Philippe,Egito,Meio-Campo (Titular),Raro
882,Maurice Barbier,Egito,Zagueiro (Titular),Comum
883,Augustin Didier-Bodin,Egito,Atacante (Titular),Comum
884,Martin Parent-Morel,Egito,Lateral (Titular),Comum
885,Honoré Dubois,Egito,Lateral (Titular),Muito Raro
886,Xavier Hubert,Egito,Lateral (Titular),Comum
887,Adrien Potier,Egito,Atacante (Reserva),Comum
888,Xavier Goncalves,Egito,Meio-Campo (Reserva),Comum
889,Alfred Gaillard,Egito,Atacante (Reserva),Comum
890,Olivier Robin,Egito,Lateral (Reserva),Comum
891,Rémy Clément,Egito,Atacante (Reserva),Comum
892,Patrick Barbe de la Pottier,Egito,Lateral (Reserva),Comum
893,Arthur Gaillard,Egito,Meio-Campo (Reserva),Comum
894,Thibault-Alfred Couturier,Egito,Zagueiro (Reserva),Comum
895,Isaac Roche,Egito,Zagueiro (Reserva),Comum
896,Édouard Roux,Egito,Atacante (Reserva),Comum
897,William Labbé-Chrétien,Egito,Meio-Campo (Reserva),Comum
898,François Charpentier,Egito,Atacante (Reserva),Comum
899,Jules Faure,Egito,Lateral (Reserva),Comum
900,Augustin Dumont,Egito,Técnico,Comum
901,Robert Dunn,Arábia Saudita,Lateral (Titular),Comum
902,William Craig,Arábia Saudita,Zagueiro (Titular),Comum
903,Donald Orr,Arábia Saudita,Lateral (Titular),Comum
904,Patrick Burns,Arábia Saudita,Meio-Campo (Titular),Comum
905,Robert Wright,Arábia Saudita,Atacante (Titular),Comum
906,Jordan Wilkerson,Arábia Saudita,Zagueiro (Titular),Raro
907,Mark Nelson,Arábia Saudita,Lateral (Titular),Comum
908,Caleb Chung,Arábia Saudita,Meio-Campo (Titular),Comum
909,Mario Gomez,Arábia Saudita,Goleiro (Titular),Comum
910,Gregory Flowers,Arábia Saudita,Atacante (Titular),Comum
911,Joshua Perry,Arábia Saudita,Meio-Campo (Titular),Raro
912,Tyler Moreno,Arábia Saudita,Atacante (Reserva),Raro
913,Eric Roberts,Arábia Saudita,Meio-Campo (Reserva),Comum
914,Eric Ball,Arábia Saudita,Meio-Campo (Reserva),Comum
915,Ryan Barron,Arábia Saudita,Goleiro (Reserva),Comum
916,Mark Lee,Arábia Saudita,Zagueiro (Reserva),Comum
917,Frank Walker,Arábia Saudita,Atacante (Reserva),Comum
918,Seth Soto,Arábia Saudita,Goleiro (Reserva),Comum
919,Joshua Murray,Arábia Saudita,Lateral (Reserva),Comum
920,Mark Day,Arábia Saudita,Zagueiro (Reserva),Comum
921,Craig Carlson,Arábia Saudita,Lateral (Reserva),Comum
922,Mark Brown,Arábia Saudita,Meio-Campo (Reserva),Comum
923,Jonathan Keller,Arábia Saudita,Atacante (Reserva),Comum
924,Sean Ayala,Arábia Saudita,Atacante (Reserva),Comum
925,Jeremy Carpenter,Arábia Saudita,Técnico,Comum
926,Thomas Lebon,Marrocos,Meio-Campo (Titular),Comum
927,Théophile Besson,Marrocos,Lateral (Titular),Comum
928,Raymond Pinto,Marrocos,Goleiro (Titular),Comum
929,Frédéric-Victor Dupont,Marrocos,Meio-Campo (Titular),Comum
930,Alain Bonnet,Marrocos,Goleiro (Titular),Comum
931,Alfred Blin Le Collet,Marrocos,Meio-Campo (Titular),Comum
932,Jacques Allard,Marrocos,Meio-Campo (Titular),Comum
933,Georges Ribeiro,Marrocos,Meio-Campo (Titular),Comum
934,Luc-Patrick Guillou,Marrocos,Atacante (Titular),Comum
935,Marcel Laurent,Marrocos,Meio-Campo (Titular),Comum
936,Grégoire Hernandez,Marrocos,Lateral (Titular),Comum
937,Antoine Le Gall du Dumas,Marrocos,Meio-Campo (Reserva),Comum
938,Isaac Collin de De Sousa,Marrocos,Lateral (Reserva),Comum
939,Julien Lesage,Marrocos,Zagueiro (Reserva),Comum
940,Marc Buisson,Marrocos,Zagueiro (Reserva),Comum
941,Antoine Vaillant,Marrocos,Atacante (Reserva),Muito Raro
942,David Le Millet,Marrocos,Lateral (Reserva),Comum
943,Rémy Nicolas,Marrocos,Goleiro (Reserva),Comum
944,Éric Baudry,Marrocos,Lateral (Reserva),Comum
945,Christophe-Sébastien Foucher,Marrocos,Meio-Campo (Reserva),Comum
946,Bernard Hoarau,Marrocos,Atacante (Reserva),Comum
947,Hugues de Techer,Marrocos,Goleiro (Reserva),Comum
948,Thibaut Hebert,Marrocos,Lateral (Reserva),Comum
949,Thomas Laporte du Pages,Marrocos,Atacante (Reserva),Comum
950,Arthur Langlois,Marrocos,Técnico,Muito Raro
951,Deborah Adeyemi,Nigéria,Goleiro (Titular),Comum
952,Paul Balogun,Nigéria,Meio-Campo (Titular),Muito Raro
953,David Ekwueme,Nigéria,Zagueiro (Titular),Comum
954,Andrew Eze,Nigéria,Atacante (Titular),Comum
955,Gloria Ibrahim,Nigéria,Lateral (Titular),Comum
956,Charity Adeyemi,Nigéria,Atacante (Titular),Comum
957,Joy Ekwueme,Nigéria,Meio-Campo (Titular),Comum
958,Victoria Chukwu,Nigéria,Atacante (Titular),Muito Raro
959,Michael Nnamani,Nigéria,Goleiro (Titular),Raro
960,Joy Okafor,Nigéria,Zagueiro (Titular),Muito Raro
961,Esther Chukwu,Nigéria,Goleiro (Titular),Comum
962,Blessing Oshodi,Nigéria,Meio-Campo (Reserva),Comum
963,Nathaniel Obi,Nigéria,Lateral (Reserva),Comum
964,Samuel Obasanjo,Nigéria,Atacante (Reserva),Comum
965,Mary Adeyemi,Nigéria,Atacante (Reserva),Comum
966,Peter Oyekan,Nigéria,Meio-Campo (Reserva),Comum
967,Emmanuel Okafor,Nigéria,Lateral (Reserva),Comum
968,Grace Obasanjo,Nigéria,Atacante (Reserva),Comum
969,Patience Ogunleye,Nigéria,Atacante (Reserva),Comum
970,Mark Obasanjo,Nigéria,Lateral (Reserva),Comum
971,Joshua Eze,Nigéria,Meio-Campo (Reserva),Comum
972,Patience Ibrahim,Nigéria,Atacante (Reserva),Comum
973,Patience Okafor,Nigéria,Zagueiro (Reserva),Comum
974,Peace Obi,Nigéria,Atacante (Reserva),Comum
975,Joseph Chukwu,Nigéria,Técnico,Comum
976,Patrick Terrell,África do Sul,Meio-Campo (Titular),Muito Raro
977,Anthony Anderson,África do Sul,Goleiro (Titular),Comum
978,Robert Myers,África do Sul,Goleiro (Titular),Comum
979,Jason Gilmore,África do Sul,Zagueiro (Titular),Comum
980,Keith Taylor,África do Sul,Meio-Campo (Titular),Comum
981,Cody Bowers,África do Sul,Lateral (Titular),Comum
982,Shawn Smith,África do Sul,Lateral (Titular),Comum
983,Cody Morgan,África do Sul,Zagueiro (Titular),Muito Raro
984,Zachary Lewis,África do Sul,Goleiro (Titular),Comum
985,Barry Wheeler,África do Sul,Zagueiro (Titular),Comum
986,Jordan Fuller,África do Sul,Goleiro (Titular),Comum
987,Paul Hernandez,África do Sul,Zagueiro (Reserva),Comum
988,Rodney Ryan,África do Sul,Lateral (Reserva),Comum
989,Patrick Patel,África do Sul,Goleiro (Reserva),Comum
990,Grant Barrera,África do Sul,Lateral (Reserva),Comum
991,Joseph Douglas,África do Sul,Atacante (Reserva),Comum
992,Darren Reed,África do Sul,Zagueiro (Reserva),Comum
993,Gregory Flynn,África do Sul,Lateral (Reserva),Comum
994,Mark Irwin,África do Sul,Goleiro (Reserva),Muito Raro
995,Dustin Cooper,África do Sul,Goleiro (Reserva),Comum
996,Philip Brown,África do Sul,Lateral (Reserva),Comum
997,Caleb Holmes,África do Sul,Goleiro (Reserva),Comum
998,Micheal Kim,África do Sul,Zagueiro (Reserva),Comum
999,Eugene Harrison,África do Sul,Atacante (Reserva),Comum
1000,Travis Le,África do Sul,Técnico,Comum
1001,Craig Anderson,Estados Unidos,Atacante (Titular),Comum
1002,Joshua Mccarty,Estados Unidos,Goleiro (Titular),Comum
1003,Troy Jackson,Estados Unidos,Meio-Campo (Titular),Comum
1004,Damon Gray,Estados Unidos,Meio-Campo (Titular),Comum
1005,Jordan Graham,Estados Unidos,Lateral (Titular),Comum
1006,Stephen Smith,Estados Unidos,Atacante (Titular),Comum
1007,Raymond Bowen,Estados Unidos,Zagueiro (Titular),Comum
1008,George Cooper,Estados Unidos,Lateral (Titular),Comum
1009,Richard Petty,Estados Unidos,Meio-Campo (Titular),Comum
1010,Jonathan Terry,Estados Unidos,Lateral (Titular),Raro
1011,Louis Flores,Estados Unidos,Lateral (Titular),Comum
1012,John Cruz,Estados Unidos,Zagueiro (Reserva),Comum
1013,Benjamin Welch MD,Estados Unidos,Meio-Campo (Reserva),Comum
1014,Jonathan Stanton,Estados Unidos,Atacante (Reserva),Comum
1015,Robert Frost,Estados Unidos,Zagueiro (Reserva),Comum
1016,Charles Cabrera,Estados Unidos,Meio-Campo (Reserva),Comum
1017,Jeremiah Carter,Estados Unidos,Zagueiro (Reserva),Comum
1018,Scott Anderson,Estados Unidos,Meio-Campo (Reserva),Comum
1019,David Arias,Estados Unidos,Lateral (Reserva),Comum
1020,Todd Brown,Estados Unidos,Lateral (Reserva),Raro
1021,Eric Jackson,Estados Unidos,Meio-Campo (Reserva),Comum
1022,Jose Shah,Estados Unidos,Atacante (Reserva),Comum
1023,Michael Martinez,Estados Unidos,Atacante (Reserva),Comum
1024,William Miller,Estados Unidos,Lateral (Reserva),Comum
1025,Sean Brown,Estados Unidos,Técnico,Comum
1026,Scott Miller,Canadá,Goleiro (Titular),Comum
1027,Christopher Butler,Canadá,Atacante (Titular),Comum
1028,Robert Garcia,Canadá,Atacante (Titular),Comum
1029,John Warren,Canadá,Goleiro (Titular),Comum
1030,Mark Russo,Canadá,Meio-Campo (Titular),Comum
1031,Angel Jackson,Canadá,Lateral (Titular),Comum
1032,John Graham,Canadá,Atacante (Titular),Comum
1033,Joseph Jackson,Canadá,Atacante (Titular),Comum
1034,James Brown PhD,Canadá,Meio-Campo (Titular),Comum
1035,Matthew Bender,Canadá,Zagueiro (Titular),Comum
1036,Randy Cantu,Canadá,Lateral (Titular),Comum
1037,Brian English,Canadá,Meio-Campo (Reserva),Comum
1038,Donald Ingram,Canadá,Lateral (Reserva),Raro
1039,Jordan Day,Canadá,Lateral (Reserva),Comum
1040,Christopher Lee,Canadá,Zagueiro (Reserva),Comum
1041,Michael Yu,Canadá,Meio-Campo (Reserva),Raro
1042,Devin Henderson,Canadá,Atacante (Reserva),Comum
1043,Shawn Ruiz,Canadá,Atacante (Reserva),Comum
1044,Lance Swanson,Canadá,Lateral (Reserva),Comum
1045,Corey Nguyen,Canadá,Zagueiro (Reserva),Comum
1046,Joseph Bell,Canadá,Lateral (Reserva),Comum
1047,Jeff Scott,Canadá,Zagueiro (Reserva),Comum
1048,Justin Hodges,Canadá,Lateral (Reserva),Comum
1049,Tony Briggs,Canadá,Lateral (Reserva),Comum
1050,David Moore,Canadá,Técnico,Comum
1051,Tessa Neehan,Irlanda,Zagueiro (Titular),Comum
1052,Elaine Concannon,Irlanda,Zagueiro (Titular),Comum
1053,Michelle Crean-Finnegan,Irlanda,Meio-Campo (Titular),Comum
1054,Stewart McEntee,Irlanda,Atacante (Titular),Comum
1055,Celine Sheilds,Irlanda,Meio-Campo (Titular),Comum
1056,Patricia Honan-MacEvoy,Irlanda,Meio-Campo (Titular),Comum
1057,Jenna Lordan,Irlanda,Atacante (Titular),Muito Raro
1058,Alexander McCooey-McCafferky,Irlanda,Lateral (Titular),Comum
1059,Enda Kehoe,Irlanda,Goleiro (Titular),Comum
1060,Aileen Hargadon-Sherry,Irlanda,Meio-Campo (Titular),Comum
1061,Feargal McNee,Irlanda,Atacante (Titular),Comum
1062,Jennifer O'Byrne,Irlanda,Goleiro (Reserva),Comum
1063,Robbie Carthy,Irlanda,Meio-Campo (Reserva),Comum
1064,Ayesha Martin,Irlanda,Zagueiro (Reserva),Comum
1065,Sorcha Lordan,Irlanda,Zagueiro (Reserva),Comum
1066,Deaglan Howley,Irlanda,Meio-Campo (Reserva),Comum
1067,Domhnall Rowley,Irlanda,Goleiro (Reserva),Comum
1068,Katie-Louise Phillips,Irlanda,Goleiro (Reserva),Comum
1069,Yasmine Doohan,Irlanda,Zagueiro (Reserva),Comum
1070,Ian Scriven,Irlanda,Meio-Campo (Reserva),Comum
1071,Erica Crawley-Millet,Irlanda,Meio-Campo (Reserva),Muito Raro
1072,Hayden Dwyer,Irlanda,Atacante (Reserva),Comum
1073,Clare Powell,Irlanda,Atacante (Reserva),Comum
1074,Kiera Grace,Irlanda,Meio-Campo (Reserva),Muito Raro
1075,Russell McNeill,Irlanda,Técnico,Comum
1076,Howard Waters,Escócia,Lateral (Titular),Comum
1077,Eric Thomas,Escócia,Zagueiro (Titular),Comum
1078,Sean Arnold,Escócia,Zagueiro (Titular),Raro
1079,Douglas Jones,Escócia,Goleiro (Titular),Raro
1080,Scott Lee-Hyde,Escócia,Goleiro (Titular),Comum
1081,Clifford Carter,Escócia,Goleiro (Titular),Comum
1082,Ronald Dodd,Escócia,Zagueiro (Titular),Comum
1083,Terry Osborne,Escócia,Goleiro (Titular),Comum
1084,Josh Hunt,Escócia,Meio-Campo (Titular),Comum
1085,Mathew Bradshaw,Escócia,Atacante (Titular),Comum
1086,Daniel Marshall,Escócia,Atacante (Titular),Comum
1087,Benjamin Jones,Escócia,Zagueiro (Reserva),Comum
1088,Robert Jones,Escócia,Meio-Campo (Reserva),Comum
1089,Garry Reid,Escócia,Meio-Campo (Reserva),Comum
1090,Howard Green-Robinson,Escócia,Meio-Campo (Reserva),Comum
1091,Trevor Jenkins,Escócia,Zagueiro (Reserva),Comum
1092,Douglas Davies,Escócia,Goleiro (Reserva),Comum
1093,Ben Green,Escócia,Atacante (Reserva),Comum
1094,Kevin Barber,Escócia,Atacante (Reserva),Comum
1095,Joel Taylor,Escócia,Lateral (Reserva),Comum
1096,Liam Pearson,Escócia,Zagueiro (Reserva),Comum
1097,Kenneth Rees,Escócia,Atacante (Reserva),Comum
1098,Robert Bray,Escócia,Meio-Campo (Reserva),Comum
1099,Paul Crawford,Escócia,Meio-Campo (Reserva),Comum
1100,Leigh Collier,Escócia,Técnico,Comum
1101,Luke Schofield,País de Gales,Goleiro (Titular),Comum
1102,Allan Miller,País de Gales,Lateral (Titular),Comum
1103,Jamie Jenkins,País de Gales,Goleiro (Titular),Raro
1104,Guy Spencer-Day,País de Gales,Goleiro (Titular),Comum
1105,Alex Hughes-Ward,País de Gales,Atacante (Titular),Comum
1106,Edward Hammond,País de Gales,Zagueiro (Titular),Comum
1107,Max Khan,País de Gales,Lateral (Titular),Comum
1108,Eric Robinson-Hall,País de Gales,Zagueiro (Titular),Comum
1109,Ben Hammond,País de Gales,Lateral (Titular),Comum
1110,Andrew Patel,País de Gales,Meio-Campo (Titular),Comum
1111,Kieran Stevens,País de Gales,Zagueiro (Titular),Comum
1112,Mark Fisher,País de Gales,Zagueiro (Reserva),Comum
1113,Malcolm Benson,País de Gales,Zagueiro (Reserva),Comum
1114,Graham Smith,País de Gales,Atacante (Reserva),Comum
1115,Ricky Norman,País de Gales,Meio-Campo (Reserva),Muito Raro
1116,Nigel Dean,País de Gales,Meio-Campo (Reserva),Comum
1117,Richard Abbott,País de Gales,Atacante (Reserva),Comum
1118,Nigel Hodgson,País de Gales,Meio-Campo (Reserva),Comum
1119,Keith Kaur,País de Gales,Lateral (Reserva),Comum
1120,Christopher Howell,País de Gales,Lateral (Reserva),Comum
1121,Samuel Simpson,País de Gales,Zagueiro (Reserva),Comum
1122,Dale Lloyd,País de Gales,Lateral (Reserva),Raro
1123,Philip Ward,País de Gales,Zagueiro (Reserva),Comum
1124,Liam Ball,País de Gales,Zagueiro (Reserva),Comum
1125,Keith Sutton,País de Gales,Técnico,Comum
1126,Benjamin Ezequiel Figueroa,Paraguai,Zagueiro (Titular),Comum
1127,Justina Garcia,Paraguai,Goleiro (Titular),Comum
1128,Thiago Benjamin Gomez Gomez,Paraguai,Meio-Campo (Titular),Comum
1129,Alma Dylan Benjamin Hernandez Lucero,Paraguai,Meio-Campo (Titular),Comum
1130,Catalina Gonzalez,Paraguai,Zagueiro (Titular),Comum
1131,Ciro Hernandez Bravo,Paraguai,Zagueiro (Titular),Raro
1132,Juan Ignacio Valentina Alvarez,Paraguai,Meio-Campo (Titular),Comum
1133,Thiago Ezequiel Romero,Paraguai,Meio-Campo (Titular),Comum
1134,Guadalupe Villalba Escobar,Paraguai,Atacante (Titular),Comum
1135,Clara Lopez Gonzalez,Paraguai,Goleiro (Titular),Comum
1136,Maia Ciro Benjamin Medina Quiroga,Paraguai,Meio-Campo (Titular),Comum
1137,Facundo Rodriguez,Paraguai,Zagueiro (Reserva),Comum
1138,Sara Mateo Martinez Romero,Paraguai,Zagueiro (Reserva),Comum
1139,Juan Martin Gabriel Muñoz,Paraguai,Zagueiro (Reserva),Muito Raro
1140,Thiago Benjamin Fernandez Quiroga,Paraguai,Lateral (Reserva),Comum
1141,Isabella Francisco Gonzalez Vargas,Paraguai,Lateral (Reserva),Comum
1142,Dylan Ezequiel Juan David Peralta,Paraguai,Goleiro (Reserva),Comum
1143,Emilia Luca Rivero Cardozo,Paraguai,Goleiro (Reserva),Comum
1144,Morena Jazmin Medina,Paraguai,Zagueiro (Reserva),Comum
1145,Benicio Ignacio Medina Sosa,Paraguai,Goleiro (Reserva),Comum
1146,Catalina Angel Gabriel Fernandez Martinez,Paraguai,Zagueiro (Reserva),Muito Raro
1147,Agustin Miranda,Paraguai,Lateral (Reserva),Comum
1148,Octavio Gonzalez Lopez,Paraguai,Meio-Campo (Reserva),Comum
1149,Francesca Gomez,Paraguai,Goleiro (Reserva),Comum
1150,Sofia Mateo Valentin Barrios,Paraguai,Técnico,Comum
1151,Alfonso Jaime Arango,Equador,Lateral (Titular),Comum
1152,Alberto Daza Mosquera,Equador,Goleiro (Titular),Comum
1153,Guillermo Jhon Cardona Velásquez,Equador,Lateral (Titular),Comum
1154,Edward Hugo Morales,Equador,Goleiro (Titular),Comum
1155,David Flórez,Equador,Meio-Campo (Titular),Comum
1156,César Alberto Hoyos Cortés,Equador,Lateral (Titular),Comum
1157,Fernando Luis Rueda Zambrano,Equador,Atacante (Titular),Comum
1158,Uriel Rodríguez,Equador,Goleiro (Titular),Comum
1159,Rodolfo Alberto Rodríguez Sepúlveda,Equador,Atacante (Titular),Raro
1160,Esteban Restrepo Acevedo,Equador,Meio-Campo (Titular),Comum
1161,Fabio Gómez Ortega,Equador,Zagueiro (Titular),Comum
1162,Luis Víctor Rojas Rubio,Equador,Meio-Campo (Reserva),Comum
1163,Andrés Manuel Cifuentes Castellanos,Equador,Goleiro (Reserva),Comum
1164,Alfonso Zapata,Equador,Meio-Campo (Reserva),Comum
1165,Eduar Luis Campo Vásquez,Equador,Atacante (Reserva),Comum
1166,Esteban Esteban Flórez González,Equador,Atacante (Reserva),Comum
1167,Edwin Jorge Sanabria Carmona,Equador,Goleiro (Reserva),Comum
1168,Erick Arteaga,Equador,Meio-Campo (Reserva),Comum
1169,David Sánchez Rodríguez,Equador,Goleiro (Reserva),Comum
1170,Esteban Felipe Bravo,Equador,Goleiro (Reserva),Comum
1171,José Francisco Martínez,Equador,Goleiro (Reserva),Raro
1172,Gerardo Padilla Ortiz,Equador,Atacante (Reserva),Raro
1173,David Jaramillo,Equador,Zagueiro (Reserva),Comum
1174,Miguel Castaño,Equador,Goleiro (Reserva),Comum
1175,César Cifuentes Escobar,Equador,Técnico,Comum
1176,Abelardo Manzanares Ledesma,Costa Rica,Zagueiro (Titular),Comum
1177,Nicolás Homero Molina,Costa Rica,Zagueiro (Titular),Muito Raro
1178,Ernesto Herrera Lara,Costa Rica,Meio-Campo (Titular),Comum
1179,Genaro Benjamín Sarabia,Costa Rica,Goleiro (Titular),Comum
1180,Daniel Abel de la O,Costa Rica,Atacante (Titular),Comum
1181,Roberto Segura,Costa Rica,Zagueiro (Titular),Comum
1182,Marco Antonio Villegas,Costa Rica,Goleiro (Titular),Raro
1183,Gustavo Frías,Costa Rica,Zagueiro (Titular),Comum
1184,Elias Bernardo Lucio Casares,Costa Rica,Zagueiro (Titular),Comum
1185,Gerardo Mireles,Costa Rica,Meio-Campo (Titular),Comum
1186,Gustavo Cristobal Mateo,Costa Rica,Goleiro (Titular),Comum
1187,Renato Zamudio,Costa Rica,Meio-Campo (Reserva),Comum
1188,Arturo Cisneros,Costa Rica,Atacante (Reserva),Muito Raro
1189,Silvano Patricio Montez,Costa Rica,Meio-Campo (Reserva),Comum
1190,Jonás Roybal,Costa Rica,Goleiro (Reserva),Comum
1191,Lic. Jacobo Marín,Costa Rica,Goleiro (Reserva),Comum
1192,Ricardo Arias,Costa Rica,Goleiro (Reserva),Comum
1193,Jacinto Guzmán Quiñones,Costa Rica,Atacante (Reserva),Comum
1194,Cristian Rangel Orozco,Costa Rica,Goleiro (Reserva),Comum
1195,Jacinto Esparza,Costa Rica,Zagueiro (Reserva),Comum
1196,Ramiro Nevárez Hinojosa,Costa Rica,Lateral (Reserva),Comum
1197,Jacobo Abelardo de la Torre Camarillo,Costa Rica,Atacante (Reserva),Comum
1198,Lic. Zeferino Alcala,Costa Rica,Zagueiro (Reserva),Comum
1199,Gabino Alejandro Galván,Costa Rica,Zagueiro (Reserva),Comum
1200,Jesús Palacios,Costa Rica,Técnico,Comum
